date,product_id,product_name,buy_price,sell_price,mid_price,spread_abs,spread_pct,quote_count,source_count,provider_count,primary_source,primary_provider,sources_active,branches_active,source_quality,unit,source_lineage,build_timestamp
2010-01-02,sjc_gold_bar,SJC gold bar,26620000.0,26700000.0,26660000.0,80000.0,0.00299625468164794,2,2,2,webgia_sjc_archive,WebGia,giavang_sjc_archive;webgia_sjc_archive,Hồ Chí Minh;Việt Nam,0.8,VND/luong,"{""giavang_sjc_archive"": 1, ""webgia_sjc_archive"": 1}",2026-07-16T07:19:58.998818+00:00
2010-01-04,sjc_gold_bar,SJC gold bar,26630000.0,26700000.0,26665000.0,70000.0,0.0026217228464419477,9,2,2,webgia_sjc_archive,WebGia,webgia_sjc_archive;giavang_sjc_archive,Việt Nam;Hồ Chí Minh,0.8,VND/luong,"{""webgia_sjc_archive"": 7, ""giavang_sjc_archive"": 2}",2026-07-16T07:19:58.998818+00:00
2010-01-05,sjc_gold_bar,SJC gold bar,26835000.0,26905000.0,26870000.0,70000.0,0.0026017468871956887,10,2,2,webgia_sjc_archive,WebGia,webgia_sjc_archive;giavang_sjc_archive,Việt Nam;Hồ Chí Minh,0.8,VND/luong,"{""webgia_sjc_archive"": 8, ""giavang_sjc_archive"": 2}",2026-07-16T07:19:58.998818+00:00
2010-01-06,sjc_gold_bar,SJC gold bar,26815000.0,26885000.0,26850000.0,70000.0,0.002603682350753208,8,2,2,webgia_sjc_archive,WebGia,webgia_sjc_archive;giavang_sjc_archive,Việt Nam;Hồ Chí Minh,0.8,VND/luong,"{""webgia_sjc_archive"": 6, ""giavang_sjc_archive"": 2}",2026-07-16T07:19:58.998818+00:00
2010-01-07,sjc_gold_bar,SJC gold bar,26970000.0,27050000.0,27010000.0,80000.0,0.0029574861367837337,9,2,2,webgia_sjc_archive,WebGia,webgia_sjc_archive;giavang_sjc_archive,Việt Nam;Hồ Chí Minh,0.8,VND/luong,"{""webgia_sjc_archive"": 7, ""giavang_sjc_archive"": 2}",2026-07-16T07:19:58.998818+00:00
2010-01-08,sjc_gold_bar,SJC gold bar,26800000.0,26860000.0,26830000.0,60000.0,0.0022338049143708115,7,2,2,webgia_sjc_archive,WebGia,webgia_sjc_archive;giavang_sjc_archive,Việt Nam;Hồ Chí Minh,0.7999999999999999,VND/luong,"{""webgia_sjc_archive"": 5, ""giavang_sjc_archive"": 2}",2026-07-16T07:19:58.998818+00:00
2010-01-09,sjc_gold_bar,SJC gold bar,26880000.0,26950000.0,26915000.0,70000.0,0.0025974025974025974,7,2,2,webgia_sjc_archive,WebGia,webgia_sjc_archive;giavang_sjc_archive,Việt Nam;Hồ Chí Minh,0.7999999999999999,VND/luong,"{""webgia_sjc_archive"": 5, ""giavang_sjc_archive"": 2}",2026-07-16T07:19:58.998818+00:00
2010-01-11,sjc_gold_bar,SJC gold bar,27115000.0,27180000.0,27147500.0,65000.0,0.0023914643119941135,12,2,2,webgia_sjc_archive,WebGia,webgia_sjc_archive;giavang_sjc_archive,Việt Nam;Hồ Chí Minh,0.8000000000000002,VND/luong,"{""webgia_sjc_archive"": 10, ""giavang_sjc_archive"": 2}",2026-07-16T07:19:58.998818+00:00
2010-01-12,sjc_gold_bar,SJC gold bar,27120000.0,27190000.0,27155000.0,70000.0,0.0025744759102611253,11,2,2,webgia_sjc_archive,WebGia,webgia_sjc_archive;giavang_sjc_archive,Việt Nam;Hồ Chí Minh,0.8,VND/luong,"{""webgia_sjc_archive"": 9, ""giavang_sjc_archive"": 2}",2026-07-16T07:19:58.998818+00:00
2010-01-13,sjc_gold_bar,SJC gold bar,26850000.0,26920000.0,26885000.0,70000.0,0.002600297176820208,9,2,2,webgia_sjc_archive,WebGia,webgia_sjc_archive;giavang_sjc_archive,Việt Nam;Hồ Chí Minh,0.8,VND/luong,"{""webgia_sjc_archive"": 7, ""giavang_sjc_archive"": 2}",2026-07-16T07:19:58.998818+00:00
