date,product,buy_vnd_per_luong,sell_vnd_per_luong,quote_time,n_intraday_quotes,source,location
2026-07-01,PNJ_ring_9999,143000000,146000000,01/07/2026 09:08:34,6,edge-api.pnj.io,TPHCM
2026-07-01,SJC_bar,143400000,146400000,01/07/2026 08:34:55,3,edge-api.pnj.io,TPHCM
2026-07-02,PNJ_ring_9999,145400000,148400000,02/07/2026 08:35:13,3,edge-api.pnj.io,TPHCM
2026-07-02,SJC_bar,145400000,148400000,02/07/2026 08:35:13,4,edge-api.pnj.io,TPHCM
2026-07-03,PNJ_ring_9999,148400000,151400000,03/07/2026 08:38:36,5,edge-api.pnj.io,TPHCM
2026-07-03,SJC_bar,148400000,151400000,03/07/2026 08:38:36,5,edge-api.pnj.io,TPHCM
2026-07-04,PNJ_ring_9999,148400000,151400000,04/07/2026 07:34:07,1,edge-api.pnj.io,TPHCM
2026-07-04,SJC_bar,148400000,151400000,04/07/2026 07:34:07,1,edge-api.pnj.io,TPHCM
2026-07-06,PNJ_ring_9999,148000000,151000000,06/07/2026 09:08:44,4,edge-api.pnj.io,TPHCM
2026-07-06,SJC_bar,148000000,151000000,06/07/2026 13:11:54,4,edge-api.pnj.io,TPHCM
2026-07-07,PNJ_ring_9999,146500000,149500000,07/07/2026 15:14:07,7,edge-api.pnj.io,TPHCM
2026-07-07,SJC_bar,147000000,150000000,07/07/2026 15:14:07,5,edge-api.pnj.io,TPHCM
2026-07-08,PNJ_ring_9999,145200000,148200000,08/07/2026 15:49:17,10,edge-api.pnj.io,TPHCM
2026-07-08,SJC_bar,145500000,148500000,08/07/2026 15:49:17,6,edge-api.pnj.io,TPHCM
2026-07-09,PNJ_ring_9999,145000000,148500000,09/07/2026 13:21:05,6,edge-api.pnj.io,TPHCM
2026-07-09,SJC_bar,146000000,149000000,09/07/2026 13:14:05,3,edge-api.pnj.io,TPHCM
2026-07-10,PNJ_ring_9999,145700000,149200000,10/07/2026 09:13:46,6,edge-api.pnj.io,TPHCM
2026-07-10,SJC_bar,146900000,149900000,10/07/2026 08:42:44,3,edge-api.pnj.io,TPHCM
2026-07-11,PNJ_ring_9999,145000000,149000000,11/07/2026 09:10:20,4,edge-api.pnj.io,TPHCM
2026-07-11,SJC_bar,146900000,149900000,11/07/2026 07:56:02,2,edge-api.pnj.io,TPHCM
2026-07-13,PNJ_ring_9999,143200000,146900000,13/07/2026 13:27:54,8,edge-api.pnj.io,TPHCM
2026-07-13,SJC_bar,145400000,148400000,13/07/2026 10:46:51,8,edge-api.pnj.io,TPHCM
2026-07-14,PNJ_ring_9999,143500000,147000000,14/07/2026 11:36:57,7,edge-api.pnj.io,TPHCM
2026-07-14,SJC_bar,144500000,147500000,14/07/2026 11:36:57,10,edge-api.pnj.io,TPHCM
2026-07-15,PNJ_ring_9999,143500000,147500000,15/07/2026 09:11:20,7,edge-api.pnj.io,TPHCM
2026-07-15,SJC_bar,145500000,148500000,15/07/2026 08:31:40,3,edge-api.pnj.io,TPHCM
2026-07-16,PNJ_ring_9999,143500000,147000000,16/07/2026 09:04:46,3,edge-api.pnj.io,TPHCM
2026-07-16,SJC_bar,145200000,148200000,16/07/2026 09:04:49,3,edge-api.pnj.io,TPHCM
2026-07-17,PNJ_ring_9999,141500000,145500000,17/07/2026 08:39:14,4,edge-api.pnj.io,TPHCM
2026-07-17,SJC_bar,143600000,146600000,17/07/2026 08:39:14,4,edge-api.pnj.io,TPHCM
